iter	RMSE
0	11.36812506
1	11.34609731
2	11.30908818
3	11.27118606
4	11.23428393
5	11.19941113
6	11.17066066
7	11.15261051
8	11.12467458
9	11.09108945
10	11.06419742
11	11.03249414
12	11.00140274
13	10.9709121
14	10.94101129
15	10.91124246
16	10.8878741
17	10.87415496
18	10.85984312
19	10.84619962
20	10.82448876
21	10.79738081
22	10.78343207
23	10.76305677
24	10.73712124
25	10.72546106
26	10.70025738
27	10.68991724
28	10.67138821
29	10.64721526
30	10.62430414
31	10.60844794
32	10.59315697
33	10.58378283
34	10.56526655
35	10.55602227
36	10.55302108
37	10.54763818
38	10.53792678
39	10.5294358
40	10.51395239
41	10.49285218
42	10.47807775
43	10.45766958
44	10.45321446
45	10.43697618
46	10.42105365
47	10.41322065
48	10.39774692
49	10.3912232
50	10.37838779
51	10.36153954
52	10.34338758
53	10.32895465
54	10.3140735
55	10.30748264
56	10.29310758
57	10.28155867
58	10.2650008
59	10.25398569
60	10.23982282
61	10.22940379
62	10.22440713
63	10.21442438
64	10.201346
65	10.18636837
66	10.1835738
67	10.16895219
68	10.16415008
69	10.16165444
70	10.14745664
71	10.14335934
72	10.12952439
73	10.11596979
74	10.10475917
75	10.10228965
76	10.0942206
77	10.08357624
78	10.08286735
79	10.08218787
80	10.07188033
81	10.05952649
82	10.04942504
83	10.03962463
84	10.0301242
85	10.01862461
86	10.01680885
87	10.01284455
88	10.00966482
89	9.998562222
90	9.98983139
91	9.979136547
92	9.976270376
93	9.97476449
94	9.968914464
95	9.963278685
96	9.953140407
97	9.943206952
98	9.938019894
99	9.93066254
100	9.923275041
101	9.915146333
102	9.905996557
103	9.901440489
104	9.892577511
105	9.887299404
106	9.879778009
107	9.87133944
108	9.870954477
109	9.866035793
110	9.860061288
111	9.854258159
112	9.846338559
113	9.844337849
114	9.843777908
115	9.836062562
116	9.829429208
117	9.827486269
118	9.82226389
119	9.820534003
120	9.813278607
121	9.807048374
122	9.800058779
123	9.794725807
124	9.789558972
125	9.782935729
126	9.776446118
127	9.770087433
128	9.763857016
129	9.757752269
130	9.756325827
131	9.750370383
132	9.745185629
133	9.739450001
134	9.733830214
135	9.728941294
136	9.724148845
137	9.719450948
138	9.716594881
139	9.711421086
140	9.706352136
141	9.701385884
142	9.696520231
143	9.694877317
144	9.69232606
145	9.687638116
146	9.686642922
147	9.68206796
148	9.678116811
149	9.674243578
150	9.669912272
151	9.666188604
152	9.662017137
153	9.658437268
154	9.654419697
155	9.652536008
156	9.649111046
157	9.645753637
158	9.642837936
159	9.639585522
160	9.63679883
161	9.633222634
162	9.629719096
163	9.626688537
164	9.624941136
165	9.621601623
166	9.618330007
167	9.615124886
168	9.612356549
169	9.609270042
170	9.606246288
171	9.603636427
172	9.600724569
173	9.598215631
174	9.59770652
175	9.595254457
176	9.593461833
177	9.592899883
178	9.591174775
179	9.588835215
180	9.588319322
181	9.585710871
182	9.584902827
183	9.583678458
184	9.581161411
185	9.578695739
186	9.576580313
187	9.575460164
188	9.575215724
189	9.5734111
190	9.571101968
191	9.569391772
192	9.567735328
193	9.565796661
194	9.563896249
195	9.562033327
196	9.560494328
197	9.55900366
198	9.557559797
199	9.55662798
200	9.554663007
201	9.554302804
202	9.552945307
203	9.551259259
204	9.549606522
205	9.547986429
206	9.546193034
207	9.545872558
208	9.545545309
209	9.545248407
210	9.543708314
211	9.542198648
212	9.541923364
213	9.540448553
214	9.538800977
215	9.537383424
216	9.537132431
217	9.535550358
218	9.534652429
219	9.533307743
220	9.533178185
221	9.531861241
222	9.530384987
223	9.52893893
224	9.527522439
225	9.526734207
226	9.5253638
227	9.524181891
228	9.52344449
229	9.522296787
230	9.521015659
231	9.519760658
232	9.51853124
233	9.517326873
234	9.516147033
235	9.515127115
236	9.514945393
237	9.513948518
238	9.513776389
239	9.512801916
240	9.511846652
241	9.51077357
242	9.509722424
243	9.508692755
244	9.508609813
245	9.50760254
246	9.506615838
247	9.505649276
248	9.50481764
249	9.504002394
250	9.50390338
251	9.502989988
252	9.502865199
253	9.501972557
254	9.501098167
255	9.500982007
256	9.500127401
257	9.499394347
258	9.49867575
259	9.497866883
260	9.497176171
261	9.496397301
262	9.495733383
263	9.495082548
264	9.494345206
265	9.493622973
266	9.493009545
267	9.492408197
268	9.491818691
269	9.49114634
270	9.490579675
271	9.490024163
272	9.489387424
273	9.488853426
274	9.488329933
275	9.487726824
276	9.48713612
277	9.48655756
278	9.485990887
279	9.485516418
280	9.485051278
281	9.484514488
282	9.484067344
283	9.483628988
284	9.483120423
285	9.482622327
286	9.482555569
287	9.482143512
288	9.481739553
289	9.481343533
290	9.480955293
291	9.480499626
292	9.480053371
293	9.479687385
294	9.479328585
295	9.478905602
296	9.47856067
297	9.478153119
298	9.477753994
299	9.477363117
300	9.477044248
301	9.476667624
302	9.476361073
303	9.475998171
304	9.47564277
305	9.475294709
306	9.474953833
307	9.474675922
308	9.474347461
309	9.474025779
310	9.473763772
311	9.473453799
312	9.473150221
313	9.472903205
314	9.472610669
315	9.472373186
316	9.472091281
317	9.471815194
318	9.471591292
319	9.471325232
320	9.47106466
321	9.470809462
322	9.470559522
323	9.470356511
324	9.47015748
325	9.469920464
326	9.469688336
327	9.469460992
328	9.469238331
329	9.469020255
330	9.468806665
331	9.468633105
332	9.468427262
333	9.468225653
334	9.468028189
335	9.467834782
336	9.467645347
337	9.467491008
338	9.467339694
339	9.467160052
340	9.466984102
341	9.466811766
342	9.466642967
343	9.466477632
344	9.466315687
345	9.466157061
346	9.466001684
347	9.465849488
348	9.465700406
349	9.465554373
350	9.465411324
351	9.465271197
352	9.465133931
353	9.464999466
354	9.464867744
355	9.464759152
356	9.464632211
357	9.464507858
358	9.46438604
359	9.464266704
360	9.464149798
361	9.464035271
362	9.463940554
363	9.463830185
364	9.463722061
365	9.463616136
366	9.463512365
367	9.463410703
368	9.463311105
369	9.46321353
370	9.463117934
371	9.463024277
372	9.462932519
373	9.46284262
374	9.462754542
375	9.462668247
376	9.462583699
377	9.46250086
378	9.462419697
379	9.462340173
380	9.462262256
381	9.462185913
382	9.46211111
383	9.462037816
384	9.461966001
385	9.461895633
386	9.461826683
387	9.461759122
388	9.461692921
389	9.461628052
390	9.461564489
391	9.461502204
392	9.461441171
393	9.461381364
394	9.461322759
395	9.46126533
396	9.461209054
397	9.461153908
398	9.461099867
399	9.46104691
400	9.460995015
401	9.460944159
402	9.460894322
403	9.460845483
404	9.460797621
405	9.460750717
406	9.460704751
407	9.460659704
408	9.460615557
409	9.460572293
410	9.460529893
411	9.46048834
412	9.460447616
413	9.460407704
414	9.460368589
415	9.460330255
416	9.460292684
417	9.460255862
418	9.460219774
419	9.460184405
420	9.46014974
421	9.460115765
422	9.460082467
423	9.460049831
424	9.460017844
425	9.459986493
426	9.459955766
427	9.459925649
428	9.459896131
429	9.459867199
430	9.459838841
431	9.459811046
432	9.459783804
433	9.459757101
434	9.459730929
435	9.459705275
436	9.45968013
437	9.459655484
438	9.459631326
439	9.459607647
440	9.459584436
441	9.459561686
442	9.459539385
443	9.459517527
444	9.459496101
445	9.459475098
446	9.459454511
447	9.459434332
448	9.459414551
449	9.459395161
450	9.459376155
451	9.459357524
452	9.459339261
453	9.459321359
454	9.45930381
455	9.459286608
456	9.459269745
457	9.459253215
458	9.459237011
459	9.459221127
460	9.459205556
461	9.459190292
462	9.459175329
463	9.459160661
464	9.459146282
465	9.459132187
466	9.459118369
467	9.459104823
468	9.459091544
469	9.459078526
470	9.459065765
471	9.459053255
472	9.459040991
473	9.459028968
474	9.459017182
475	9.459005628
476	9.458994301
477	9.458983196
478	9.45897231
479	9.458961638
480	9.458951176
481	9.458940919
482	9.458930864
483	9.458921006
484	9.458911342
485	9.458901868
486	9.458892579
487	9.458883473
488	9.458874546
489	9.458865794
490	9.458857214
491	9.458848802
492	9.458840555
493	9.45883247
494	9.458824543
495	9.458816772
496	9.458809153
497	9.458801683
498	9.45879436
499	9.458787181
500	9.458780142
501	9.458773241
502	9.458766475
503	9.458759842
504	9.458753339
505	9.458746963
506	9.458740712
507	9.458734583
508	9.458728575
509	9.458722684
510	9.458716908
511	9.458711245
512	9.458705693
513	9.45870025
514	9.458694913
515	9.458689681
516	9.458684551
517	9.458679521
518	9.45867459
519	9.458669755
520	9.458665014
521	9.458660366
522	9.45865581
523	9.458651342
524	9.458646961
525	9.458642666
526	9.458638455
527	9.458634327
528	9.458630278
529	9.458626309
530	9.458622418
531	9.458618602
532	9.458614861
533	9.458611194
534	9.458607597
535	9.458604071
536	9.458600614
537	9.458597224
538	9.4585939
539	9.458590642
540	9.458587446
541	9.458584314
542	9.458581242
543	9.45857823
544	9.458575277
545	9.458572382
546	9.458569543
547	9.458566759
548	9.45856403
549	9.458561354
550	9.45855873
551	9.458556157
552	9.458553634
553	9.458551161
554	9.458548736
555	9.458546358
556	9.458544026
557	9.45854174
558	9.458539499
559	9.458537301
560	9.458535146
561	9.458533032
562	9.458530961
563	9.458528929
564	9.458526937
565	9.458524984
566	9.458523069
567	9.458521191
568	9.458519349
569	9.458517544
570	9.458515774
571	9.458514038
572	9.458512336
573	9.458510667
574	9.458509031
575	9.458507426
576	9.458505853
577	9.45850431
578	9.458502797
579	9.458501314
580	9.45849986
581	9.458498434
582	9.458497036
583	9.458495664
584	9.45849432
585	9.458493002
586	9.458491709
587	9.458490442
588	9.458489199
589	9.45848798
590	9.458486785
591	9.458485614
592	9.458484465
593	9.458483338
594	9.458482234
595	9.45848115
596	9.458480088
597	9.458479047
598	9.458478026
599	9.458477024
600	9.458476042
601	9.45847508
602	9.458474135
603	9.45847321
604	9.458472302
605	9.458471412
606	9.458470539
607	9.458469683
608	9.458468844
609	9.458468021
610	9.458467214
611	9.458466423
612	9.458465647
613	9.458464886
614	9.45846414
615	9.458463409
616	9.458462692
617	9.458461988
618	9.458461299
619	9.458460622
620	9.458459959
621	9.458459309
622	9.458458671
623	9.458458046
624	9.458457433
625	9.458456832
626	9.458456242
627	9.458455664
628	9.458455097
629	9.458454542
630	9.458453997
631	9.458453462
632	9.458452938
633	9.458452424
634	9.45845192
635	9.458451426
636	9.458450942
637	9.458450466
638	9.458450001
639	9.458449544
640	9.458449096
641	9.458448656
642	9.458448226
643	9.458447803
644	9.458447389
645	9.458446983
646	9.458446585
647	9.458446194
648	9.458445811
649	9.458445435
650	9.458445067
651	9.458444706
652	9.458444352
653	9.458444005
654	9.458443664
655	9.45844333
656	9.458443003
657	9.458442682
658	9.458442367
659	9.458442058
660	9.458441756
661	9.458441459
662	9.458441168
663	9.458440882
664	9.458440602
665	9.458440328
666	9.458440059
667	9.458439795
668	9.458439536
669	9.458439282
670	9.458439033
671	9.458438789
672	9.45843855
673	9.458438316
674	9.458438085
675	9.45843786
676	9.458437639
677	9.458437422
678	9.458437209
679	9.458437
680	9.458436796
681	9.458436595
682	9.458436398
683	9.458436205
684	9.458436016
685	9.458435831
686	9.458435649
687	9.45843547
688	9.458435295
689	9.458435124
690	9.458434956
691	9.458434791
692	9.458434629
693	9.45843447
694	9.458434315
695	9.458434162
696	9.458434013
697	9.458433866
698	9.458433722
699	9.458433581
700	9.458433443
701	9.458433307
702	9.458433174
703	9.458433044
704	9.458432916
705	9.458432791
706	9.458432668
707	9.458432547
708	9.458432429
709	9.458432313
710	9.458432199
711	9.458432088
712	9.458431978
713	9.458431871
714	9.458431766
715	9.458431663
716	9.458431562
717	9.458431463
718	9.458431366
719	9.45843127
720	9.458431177
721	9.458431085
722	9.458430995
723	9.458430907
724	9.458430821
725	9.458430736
726	9.458430653
727	9.458430571
728	9.458430491
729	9.458430413
730	9.458430336
731	9.458430261
732	9.458430187
733	9.458430114
734	9.458430043
735	9.458429973
736	9.458429905
737	9.458429838
738	9.458429772
739	9.458429708
740	9.458429645
741	9.458429583
742	9.458429522
743	9.458429462
744	9.458429404
745	9.458429346
746	9.45842929
747	9.458429235
748	9.458429181
749	9.458429128
750	9.458429076
751	9.458429025
752	9.458428975
753	9.458428926
754	9.458428878
755	9.458428831
756	9.458428785
757	9.458428739
758	9.458428695
759	9.458428651
760	9.458428609
761	9.458428567
762	9.458428526
763	9.458428485
764	9.458428446
765	9.458428407
766	9.458428369
767	9.458428332
768	9.458428295
769	9.45842826
770	9.458428224
771	9.45842819
772	9.458428156
773	9.458428123
774	9.45842809
775	9.458428059
776	9.458428027
777	9.458427997
778	9.458427967
779	9.458427937
780	9.458427908
781	9.45842788
782	9.458427852
783	9.458427825
784	9.458427798
785	9.458427772
786	9.458427746
787	9.458427721
788	9.458427696
789	9.458427672
790	9.458427648
791	9.458427625
792	9.458427602
793	9.45842758
794	9.458427558
795	9.458427536
796	9.458427515
797	9.458427494
798	9.458427474
799	9.458427454
800	9.458427435
801	9.458427416
802	9.458427397
803	9.458427378
804	9.45842736
805	9.458427343
806	9.458427325
807	9.458427308
808	9.458427291
809	9.458427275
810	9.458427259
811	9.458427243
812	9.458427228
813	9.458427213
814	9.458427198
815	9.458427183
816	9.458427169
817	9.458427155
818	9.458427141
819	9.458427128
820	9.458427114
821	9.458427101
822	9.458427089
823	9.458427076
824	9.458427064
825	9.458427052
826	9.45842704
827	9.458427029
828	9.458427017
829	9.458427006
830	9.458426996
831	9.458426985
832	9.458426974
833	9.458426964
834	9.458426954
835	9.458426944
836	9.458426935
837	9.458426925
838	9.458426916
839	9.458426907
840	9.458426898
841	9.458426889
842	9.45842688
843	9.458426872
844	9.458426864
845	9.458426856
846	9.458426848
847	9.45842684
848	9.458426832
849	9.458426825
850	9.458426817
851	9.45842681
852	9.458426803
853	9.458426796
854	9.458426789
855	9.458426783
856	9.458426776
857	9.45842677
858	9.458426764
859	9.458426757
860	9.458426751
861	9.458426745
862	9.45842674
863	9.458426734
864	9.458426728
865	9.458426723
866	9.458426717
867	9.458426712
868	9.458426707
869	9.458426702
870	9.458426697
871	9.458426692
872	9.458426687
873	9.458426683
874	9.458426678
875	9.458426674
876	9.458426669
877	9.458426665
878	9.458426661
879	9.458426656
880	9.458426652
881	9.458426648
882	9.458426644
883	9.45842664
884	9.458426637
885	9.458426633
886	9.458426629
887	9.458426626
888	9.458426622
889	9.458426619
890	9.458426616
891	9.458426612
892	9.458426609
893	9.458426606
894	9.458426603
895	9.4584266
896	9.458426597
897	9.458426594
898	9.458426591
899	9.458426588
900	9.458426585
901	9.458426583
902	9.45842658
903	9.458426577
904	9.458426575
905	9.458426572
906	9.45842657
907	9.458426567
908	9.458426565
909	9.458426563
910	9.45842656
911	9.458426558
912	9.458426556
913	9.458426554
914	9.458426552
915	9.45842655
916	9.458426548
917	9.458426546
918	9.458426544
919	9.458426542
920	9.45842654
921	9.458426538
922	9.458426536
923	9.458426535
924	9.458426533
925	9.458426531
926	9.458426529
927	9.458426528
928	9.458426526
929	9.458426525
930	9.458426523
931	9.458426522
932	9.45842652
933	9.458426519
934	9.458426517
935	9.458426516
936	9.458426515
937	9.458426513
938	9.458426512
939	9.458426511
940	9.458426509
941	9.458426508
942	9.458426507
943	9.458426506
944	9.458426505
945	9.458426503
946	9.458426502
947	9.458426501
948	9.4584265
949	9.458426499
950	9.458426498
951	9.458426497
952	9.458426496
953	9.458426495
954	9.458426494
955	9.458426493
956	9.458426492
957	9.458426491
958	9.45842649
959	9.458426489
960	9.458426489
961	9.458426488
962	9.458426487
963	9.458426486
964	9.458426485
965	9.458426485
966	9.458426484
967	9.458426483
968	9.458426482
969	9.458426482
970	9.458426481
971	9.45842648
972	9.45842648
973	9.458426479
974	9.458426478
975	9.458426478
976	9.458426477
977	9.458426476
978	9.458426476
979	9.458426475
980	9.458426475
981	9.458426474
982	9.458426473
983	9.458426473
984	9.458426472
985	9.458426472
986	9.458426471
987	9.458426471
988	9.45842647
989	9.45842647
990	9.458426469
991	9.458426469
992	9.458426468
993	9.458426468
994	9.458426468
995	9.458426467
996	9.458426467
997	9.458426466
998	9.458426466
999	9.458426465
