iter	Passed	Remaining
0	0	475
1	0	432
2	1	405
3	1	376
4	1	368
5	2	352
6	2	354
7	2	357
8	3	354
9	3	346
10	3	349
11	4	349
12	4	354
13	5	353
14	5	343
15	5	342
16	5	333
17	6	333
18	6	324
19	6	321
20	6	323
21	7	324
22	7	325
23	7	324
24	8	324
25	8	321
26	8	316
27	9	313
28	9	309
29	9	306
30	9	308
31	10	310
32	10	309
33	10	308
34	11	308
35	11	307
36	11	305
37	12	305
38	12	304
39	12	300
40	12	303
41	13	306
42	13	306
43	14	304
44	14	305
45	14	306
46	15	304
47	15	302
48	15	302
49	15	300
50	16	300
51	16	301
52	16	301
53	17	301
54	17	302
55	17	302
56	18	302
57	18	302
58	18	301
59	19	301
60	19	302
61	19	302
62	20	302
63	20	299
64	20	300
65	21	298
66	21	298
67	21	297
68	21	296
69	22	296
70	22	296
71	23	296
72	23	296
73	23	296
74	23	295
75	24	296
76	24	296
77	24	295
78	25	295
79	25	298
80	26	298
81	26	300
82	27	300
83	27	300
84	27	300
85	28	301
86	28	300
87	29	300
88	29	300
89	29	301
90	30	299
91	30	299
92	30	299
93	31	299
94	31	300
95	31	299
96	32	299
97	32	299
98	32	299
99	33	299
100	33	299
101	33	298
102	34	297
103	34	298
104	34	298
105	35	298
106	35	298
107	36	298
108	36	298
109	36	298
110	37	297
111	37	297
112	37	297
113	38	297
114	38	298
115	39	298
116	39	297
117	39	297
118	40	297
119	40	296
120	40	296
121	41	295
122	41	296
123	41	296
124	42	295
125	42	294
126	42	295
127	43	295
128	43	295
129	44	295
130	44	295
131	44	294
132	45	294
133	45	294
134	45	293
135	46	293
136	46	293
137	47	293
138	47	293
139	47	292
140	47	292
141	48	292
142	48	292
143	49	291
144	49	292
145	49	291
146	50	291
147	50	291
148	50	290
149	51	291
150	51	291
151	52	290
152	52	290
153	52	289
154	53	289
155	53	289
156	53	289
157	54	289
158	54	289
159	55	289
160	55	289
161	55	289
162	56	289
163	56	289
164	57	289
165	57	288
166	57	288
167	58	287
168	58	287
169	58	287
170	59	287
171	59	287
172	60	286
173	60	287
174	60	286
175	61	286
176	61	286
177	62	286
178	62	286
179	62	286
180	63	286
181	63	286
182	64	286
183	64	286
184	64	285
185	65	285
186	65	284
187	65	284
188	66	284
189	66	284
190	67	284
191	67	284
192	67	284
193	68	284
194	68	284
195	69	283
196	69	283
197	69	283
198	70	283
199	70	283
200	71	283
201	71	282
202	72	282
203	72	282
204	72	282
205	73	282
206	73	281
207	73	281
208	74	281
209	74	280
210	75	280
211	75	280
212	75	280
213	76	279
214	76	279
215	77	279
216	77	279
217	77	279
218	78	278
219	78	278
220	78	277
221	79	277
222	79	277
223	79	276
224	80	276
225	80	275
226	80	275
227	81	275
228	81	274
229	82	274
230	82	274
231	82	273
232	83	273
233	83	273
234	83	272
235	84	272
236	84	271
237	84	271
238	85	271
239	85	270
240	85	270
241	86	270
242	86	269
243	86	269
244	87	269
245	87	268
246	88	268
247	88	268
248	88	267
249	89	267
250	89	267
251	90	267
252	90	267
253	90	266
254	91	266
255	91	266
256	92	266
257	92	265
258	92	265
259	93	265
260	93	264
261	93	264
262	94	264
263	94	263
264	95	263
265	95	263
266	95	263
267	96	262
268	96	262
269	96	262
270	97	262
271	97	261
272	98	261
273	98	261
274	99	261
275	99	261
276	100	261
277	100	260
278	100	260
279	101	260
280	101	260
281	101	259
282	102	259
283	102	259
284	103	258
285	103	258
286	103	257
287	104	257
288	104	257
289	104	256
290	105	256
291	105	255
292	105	255
293	106	255
294	106	255
295	107	254
296	107	254
297	107	253
298	108	253
299	108	253
300	108	252
301	109	252
302	109	252
303	110	251
304	110	251
305	110	250
306	111	250
307	111	250
308	112	250
309	112	250
310	112	249
311	113	249
312	113	249
313	113	248
314	114	248
315	114	248
316	114	247
317	115	247
318	115	247
319	116	246
320	116	246
321	117	246
322	117	246
323	117	245
324	118	245
325	118	244
326	118	244
327	119	244
328	119	243
329	119	243
330	120	243
331	120	242
332	121	242
333	121	242
334	121	242
335	122	241
336	122	241
337	123	241
338	123	240
339	123	240
340	124	240
341	124	239
342	125	239
343	125	239
344	125	239
345	126	239
346	126	238
347	127	238
348	127	237
349	128	237
350	128	237
351	128	236
352	129	236
353	129	236
354	129	235
355	130	235
356	130	234
357	130	234
358	131	234
359	131	234
360	132	233
361	132	233
362	132	233
363	133	232
364	133	232
365	134	232
366	134	232
367	134	231
368	135	231
369	135	231
370	136	230
371	136	230
372	136	230
373	137	229
374	137	229
375	138	229
376	138	228
377	138	228
378	139	228
379	139	227
380	140	227
381	140	227
382	140	227
383	141	226
384	141	226
385	142	226
386	142	225
387	142	225
388	143	224
389	143	224
390	143	224
391	144	223
392	144	223
393	145	223
394	145	222
395	145	222
396	146	222
397	146	221
398	146	221
399	147	220
400	147	220
401	148	220
402	148	219
403	148	219
404	149	219
405	149	218
406	149	218
407	150	217
408	150	217
409	151	217
410	151	216
411	151	216
412	152	216
413	152	216
414	153	215
415	153	215
416	153	215
417	154	214
418	154	214
419	155	214
420	155	214
421	156	213
422	156	213
423	156	213
424	157	212
425	157	212
426	157	212
427	158	211
428	158	211
429	159	210
430	159	210
431	159	210
432	160	209
433	160	209
434	161	209
435	161	208
436	161	208
437	162	208
438	162	207
439	162	207
440	163	207
441	163	206
442	164	206
443	164	205
444	164	205
445	165	205
446	165	204
447	165	204
448	166	203
449	166	203
450	167	203
451	167	203
452	167	202
453	168	202
454	168	202
455	168	201
456	169	201
457	169	200
458	170	200
459	170	200
460	170	199
461	171	199
462	171	198
463	171	198
464	172	198
465	172	197
466	172	197
467	173	196
468	173	196
469	174	196
470	174	195
471	174	195
472	175	195
473	175	195
474	176	194
475	176	194
476	176	194
477	177	193
478	177	193
479	178	193
480	178	192
481	179	192
482	179	192
483	180	192
484	180	191
485	181	191
486	181	191
487	182	191
488	182	190
489	183	190
490	183	190
491	184	190
492	184	189
493	184	189
494	185	189
495	185	188
496	186	188
497	186	188
498	187	187
499	187	187
500	188	187
501	188	187
502	188	186
503	189	186
504	189	186
505	190	185
506	190	185
507	191	185
508	191	184
509	192	184
510	192	184
511	193	184
512	193	183
513	194	183
514	194	183
515	195	183
516	195	182
517	196	182
518	196	182
519	196	181
520	197	181
521	197	181
522	198	180
523	198	180
524	199	180
525	199	179
526	200	179
527	200	179
528	201	178
529	201	178
530	201	178
531	202	178
532	202	177
533	203	177
534	203	177
535	204	176
536	204	176
537	205	176
538	205	175
539	205	175
540	206	175
541	207	175
542	207	174
543	208	174
544	209	175
545	210	174
546	211	175
547	212	175
548	212	174
549	213	174
550	214	174
551	214	174
552	215	173
553	215	173
554	216	173
555	216	172
556	217	172
557	217	172
558	218	172
559	218	171
560	218	171
561	219	171
562	220	170
563	220	170
564	220	170
565	221	169
566	221	169
567	222	169
568	222	168
569	223	168
570	223	168
571	224	167
572	224	167
573	225	167
574	225	166
575	226	166
576	226	166
577	227	165
578	227	165
579	228	165
580	228	164
581	229	164
582	229	164
583	229	163
584	230	163
585	230	163
586	231	162
587	231	162
588	232	162
589	232	161
590	233	161
591	233	161
592	234	160
593	234	160
594	235	160
595	235	159
596	236	159
597	236	158
598	236	158
599	237	158
600	237	157
601	238	157
602	238	157
603	239	156
604	239	156
605	240	156
606	240	155
607	240	155
608	241	154
609	241	154
610	242	154
611	242	153
612	243	153
613	243	153
614	244	152
615	244	152
616	244	152
617	245	151
618	245	151
619	246	151
620	246	150
621	247	150
622	247	149
623	247	149
624	248	149
625	248	148
626	249	148
627	249	147
628	250	147
629	250	147
630	250	146
631	251	146
632	251	145
633	252	145
634	252	145
635	252	144
636	253	144
637	253	143
638	254	143
639	254	143
640	254	142
641	255	142
642	255	142
643	256	141
644	256	141
645	256	140
646	257	140
647	257	139
648	258	139
649	258	139
650	259	138
651	259	138
652	259	138
653	260	137
654	260	137
655	261	136
656	261	136
657	261	136
658	262	135
659	262	135
660	262	134
661	263	134
662	263	133
663	263	133
664	264	133
665	264	132
666	265	132
667	265	131
668	265	131
669	266	131
670	266	130
671	266	130
672	267	129
673	267	129
674	267	129
675	268	128
676	268	128
677	269	127
678	269	127
679	269	126
680	270	126
681	270	126
682	270	125
683	271	125
684	271	124
685	272	124
686	272	124
687	272	123
688	273	123
689	273	122
690	273	122
691	274	122
692	274	121
693	274	121
694	275	120
695	275	120
696	275	119
697	276	119
698	276	119
699	277	118
700	277	118
701	277	117
702	278	117
703	278	117
704	279	116
705	279	116
706	279	115
707	280	115
708	280	115
709	281	114
710	281	114
711	281	114
712	282	113
713	282	113
714	283	112
715	283	112
716	283	112
717	284	111
718	284	111
719	285	110
720	285	110
721	285	110
722	286	109
723	286	109
724	286	108
725	287	108
726	287	108
727	288	107
728	288	107
729	288	106
730	289	106
731	289	106
732	290	105
733	290	105
734	290	104
735	291	104
736	291	104
737	292	103
738	292	103
739	293	102
740	293	102
741	293	102
742	294	101
743	294	101
744	295	101
745	295	100
746	296	100
747	297	100
748	297	99
749	298	99
750	298	99
751	299	98
752	299	98
753	300	98
754	300	97
755	301	97
756	302	96
757	302	96
758	303	96
759	303	95
760	304	95
761	304	95
762	304	94
763	305	94
764	305	93
765	306	93
766	306	93
767	306	92
768	307	92
769	307	91
770	308	91
771	308	91
772	309	90
773	309	90
774	309	89
775	310	89
776	310	89
777	311	88
778	311	88
779	312	88
780	312	87
781	312	87
782	313	86
783	313	86
784	313	85
785	314	85
786	314	85
787	315	84
788	315	84
789	315	83
790	316	83
791	316	83
792	317	82
793	317	82
794	317	81
795	318	81
796	318	81
797	319	80
798	319	80
799	320	80
800	320	79
801	320	79
802	321	78
803	321	78
804	322	78
805	322	77
806	323	77
807	323	76
808	324	76
809	324	76
810	324	75
811	325	75
812	325	74
813	326	74
814	326	74
815	326	73
816	327	73
817	327	72
818	328	72
819	328	72
820	328	71
821	329	71
822	329	70
823	329	70
824	330	70
825	330	69
826	330	69
827	331	68
828	331	68
829	332	68
830	332	67
831	332	67
832	333	66
833	333	66
834	333	65
835	334	65
836	334	65
837	335	64
838	335	64
839	335	63
840	336	63
841	336	63
842	337	62
843	337	62
844	338	62
845	338	61
846	338	61
847	339	60
848	339	60
849	340	60
850	340	59
851	340	59
852	341	58
853	341	58
854	342	58
855	342	57
856	342	57
857	343	56
858	343	56
859	343	55
860	344	55
861	344	55
862	344	54
863	345	54
864	345	53
865	346	53
866	346	53
867	347	52
868	347	52
869	348	52
870	348	51
871	349	51
872	350	50
873	350	50
874	351	50
875	351	49
876	352	49
877	352	48
878	352	48
879	353	48
880	353	47
881	353	47
882	354	46
883	354	46
884	355	46
885	355	45
886	355	45
887	356	44
888	356	44
889	357	44
890	357	43
891	357	43
892	358	42
893	358	42
894	358	42
895	359	41
896	359	41
897	359	40
898	360	40
899	360	40
900	361	39
901	361	39
902	362	38
903	362	38
904	363	38
905	363	37
906	363	37
907	364	36
908	364	36
909	365	36
910	365	35
911	365	35
912	366	34
913	366	34
914	366	34
915	367	33
916	367	33
917	368	32
918	368	32
919	368	32
920	369	31
921	369	31
922	369	30
923	370	30
924	370	30
925	370	29
926	371	29
927	371	28
928	372	28
929	372	28
930	372	27
931	373	27
932	373	26
933	374	26
934	374	26
935	375	25
936	375	25
937	376	24
938	376	24
939	376	24
940	377	23
941	377	23
942	378	22
943	378	22
944	379	22
945	379	21
946	380	21
947	380	20
948	380	20
949	381	20
950	381	19
951	382	19
952	382	18
953	383	18
954	383	18
955	384	17
956	384	17
957	384	16
958	385	16
959	385	16
960	386	15
961	386	15
962	386	14
963	387	14
964	387	14
965	388	13
966	388	13
967	388	12
968	389	12
969	389	12
970	390	11
971	390	11
972	390	10
973	391	10
974	391	10
975	392	9
976	392	9
977	392	8
978	393	8
979	393	8
980	394	7
981	394	7
982	394	6
983	395	6
984	395	6
