Model,Parameter,Group,Mean±SE,ANOVA p
Neo-Hookean,p1,CoA10,114.394 ± 14.242,1.437e-03
Neo-Hookean,p1,CoA20,172.368 ± 18.835,
Neo-Hookean,p1,CoA5,129.671 ± 16.722,
Neo-Hookean,p1,Control,162.434 ± 16.920,
Neo-Hookean,p1,RdCoA10,126.554 ± 11.072,
Neo-Hookean,p1,RdCoA20,112.211 ± 2.764,
Neo-Hookean,p1,RdCoA5,98.784 ± 10.191,
Neo-Hookean,p1,dCoA10,98.989 ± 16.389,
Neo-Hookean,p1,dCoA20,177.103 ± 19.999,
Neo-Hookean,p1,dCoA5,89.465 ± 9.374,
Neo-Hookean,p1,CoA10 vs CoA20,,Tukey p=1.353e-01
Neo-Hookean,p1,CoA10 vs CoA5,,Tukey p=9.993e-01
Neo-Hookean,p1,CoA10 vs Control,,Tukey p=3.935e-01
Neo-Hookean,p1,CoA10 vs RdCoA10,,Tukey p=9.999e-01
Neo-Hookean,p1,CoA10 vs RdCoA20,,Tukey p=1.000e+00
Neo-Hookean,p1,CoA10 vs RdCoA5,,Tukey p=9.995e-01
Neo-Hookean,p1,CoA10 vs dCoA10,,Tukey p=9.993e-01
Neo-Hookean,p1,CoA10 vs dCoA20,,Tukey p=3.085e-01
Neo-Hookean,p1,CoA10 vs dCoA5,,Tukey p=9.751e-01
Neo-Hookean,p1,CoA20 vs CoA5,,Tukey p=5.760e-01
Neo-Hookean,p1,CoA20 vs Control,,Tukey p=1.000e+00
Neo-Hookean,p1,CoA20 vs RdCoA10,,Tukey p=4.791e-01
Neo-Hookean,p1,CoA20 vs RdCoA20,,Tukey p=5.373e-01
Neo-Hookean,p1,CoA20 vs RdCoA5,,Tukey p=5.900e-02
Neo-Hookean,p1,CoA20 vs dCoA10,,Tukey p=3.420e-02
Neo-Hookean,p1,CoA20 vs dCoA20,,Tukey p=1.000e+00
Neo-Hookean,p1,CoA20 vs dCoA5,,Tukey p=1.030e-02
Neo-Hookean,p1,CoA5 vs Control,,Tukey p=8.774e-01
Neo-Hookean,p1,CoA5 vs RdCoA10,,Tukey p=1.000e+00
Neo-Hookean,p1,CoA5 vs RdCoA20,,Tukey p=9.999e-01
Neo-Hookean,p1,CoA5 vs RdCoA5,,Tukey p=9.499e-01
Neo-Hookean,p1,CoA5 vs dCoA10,,Tukey p=9.320e-01
Neo-Hookean,p1,CoA5 vs dCoA20,,Tukey p=7.191e-01
Neo-Hookean,p1,CoA5 vs dCoA5,,Tukey p=7.423e-01
Neo-Hookean,p1,Control vs RdCoA10,,Tukey p=8.099e-01
Neo-Hookean,p1,Control vs RdCoA20,,Tukey p=7.756e-01
