Model,Parameter,Group,Mean±SE,ANOVA p
Neo-Hookean,p1,CoA10,224.084 ± 24.828,4.448e-07
Neo-Hookean,p1,CoA20,379.451 ± 45.114,
Neo-Hookean,p1,CoA5,272.744 ± 31.867,
Neo-Hookean,p1,Control,119.278 ± 9.393,
Neo-Hookean,p1,RdCoA10,108.147 ± 17.224,
Neo-Hookean,p1,RdCoA20,82.646 ± 12.333,
Neo-Hookean,p1,RdCoA5,84.838 ± 11.576,
Neo-Hookean,p1,dCoA10,204.587 ± 23.196,
Neo-Hookean,p1,dCoA20,223.426 ± 39.268,
Neo-Hookean,p1,dCoA5,163.654 ± 13.585,
Neo-Hookean,p1,CoA10 vs CoA20,,Tukey p=6.900e-03
Neo-Hookean,p1,CoA10 vs CoA5,,Tukey p=9.776e-01
Neo-Hookean,p1,CoA10 vs Control,,Tukey p=4.637e-01
Neo-Hookean,p1,CoA10 vs RdCoA10,,Tukey p=1.564e-01
Neo-Hookean,p1,CoA10 vs RdCoA20,,Tukey p=2.601e-01
Neo-Hookean,p1,CoA10 vs RdCoA5,,Tukey p=7.250e-02
Neo-Hookean,p1,CoA10 vs dCoA10,,Tukey p=1.000e+00
Neo-Hookean,p1,CoA10 vs dCoA20,,Tukey p=1.000e+00
Neo-Hookean,p1,CoA10 vs dCoA5,,Tukey p=9.174e-01
Neo-Hookean,p1,CoA20 vs CoA5,,Tukey p=2.808e-01
Neo-Hookean,p1,CoA20 vs Control,,Tukey p=1.000e-04
Neo-Hookean,p1,CoA20 vs RdCoA10,,Tukey p=0.000e+00
Neo-Hookean,p1,CoA20 vs RdCoA20,,Tukey p=2.000e-04
Neo-Hookean,p1,CoA20 vs RdCoA5,,Tukey p=0.000e+00
Neo-Hookean,p1,CoA20 vs dCoA10,,Tukey p=6.900e-03
Neo-Hookean,p1,CoA20 vs dCoA20,,Tukey p=5.080e-02
Neo-Hookean,p1,CoA20 vs dCoA5,,Tukey p=5.000e-04
Neo-Hookean,p1,CoA5 vs Control,,Tukey p=1.172e-01
Neo-Hookean,p1,CoA5 vs RdCoA10,,Tukey p=2.530e-02
Neo-Hookean,p1,CoA5 vs RdCoA20,,Tukey p=6.380e-02
Neo-Hookean,p1,CoA5 vs RdCoA5,,Tukey p=1.170e-02
Neo-Hookean,p1,CoA5 vs dCoA10,,Tukey p=9.033e-01
Neo-Hookean,p1,CoA5 vs dCoA20,,Tukey p=9.922e-01
Neo-Hookean,p1,CoA5 vs dCoA5,,Tukey p=4.088e-01
Neo-Hookean,p1,Control vs RdCoA10,,Tukey p=1.000e+00
Neo-Hookean,p1,Control vs RdCoA20,,Tukey p=9.998e-01
Neo-Hookean,p1,Control vs RdCoA5,,Tukey p=9.995e-01
Neo-Hookean,p1,Control vs dCoA10,,Tukey p=8.013e-01
Neo-Hookean,p1,Control vs dCoA20,,Tukey p=6.616e-01
Neo-Hookean,p1,Control vs dCoA5,,Tukey p=9.964e-01
Neo-Hookean,p1,RdCoA10 vs RdCoA20,,Tukey p=1.000e+00
Neo-Hookean,p1,RdCoA10 vs RdCoA5,,Tukey p=9.999e-01
Neo-Hookean,p1,RdCoA10 vs dCoA10,,Tukey p=5.056e-01
Neo-Hookean,p1,RdCoA10 vs dCoA20,,Tukey p=3.778e-01
Neo-Hookean,p1,RdCoA10 vs dCoA5,,Tukey p=9.596e-01
Neo-Hookean,p1,RdCoA20 vs RdCoA5,,Tukey p=1.000e+00
Neo-Hookean,p1,RdCoA20 vs dCoA10,,Tukey p=5.339e-01
Neo-Hookean,p1,RdCoA20 vs dCoA20,,Tukey p=4.093e-01
Neo-Hookean,p1,RdCoA20 vs dCoA5,,Tukey p=9.177e-01
Neo-Hookean,p1,RdCoA5 vs dCoA10,,Tukey p=2.873e-01
Neo-Hookean,p1,RdCoA5 vs dCoA20,,Tukey p=2.085e-01
Neo-Hookean,p1,RdCoA5 vs dCoA5,,Tukey p=8.031e-01
Neo-Hookean,p1,dCoA10 vs dCoA20,,Tukey p=1.000e+00
Neo-Hookean,p1,dCoA10 vs dCoA5,,Tukey p=9.965e-01
Neo-Hookean,p1,dCoA20 vs dCoA5,,Tukey p=9.715e-01
Yeoh,p1,CoA10,0.000 ± 0.000,5.813e-01
Yeoh,p1,CoA20,0.000 ± 0.000,
Yeoh,p1,CoA5,0.000 ± 0.000,
Yeoh,p1,Control,0.000 ± 0.000,
Yeoh,p1,RdCoA10,1.133 ± 1.133,
Yeoh,p1,RdCoA20,0.000 ± 0.000,
Yeoh,p1,RdCoA5,1.743 ± 1.743,
Yeoh,p1,dCoA10,0.000 ± 0.000,
Yeoh,p1,dCoA20,0.000 ± 0.000,
